"ocl";"chl";"chl2";"chl3";"chl4";"chl1a";"chl2a";"chl3a";"el";"bins"
"Conasprelloides multiliratus";-3.30810695859614;0.405465108108164;0.405465108108164;1.09861228866811;NA;1;1;2;0;13
"Concavus concavus";-2.7408400239252;1.09861228866811;0.693147180559946;NA;NA;1;0;NA;0;13
"Conchocele bisecta";-3.19867311755068;0.405465108108164;0.810930216216328;0.117783035656383;-0.169899036795398;1;2;1;0;13
"Conchocele inflata";-4.34380542185369;0.693147180559945;NA;NA;NA;1;NA;NA;0;13
"Conus aemulator";-3.2188758248682;0.405465108108164;0.810930216216328;NA;NA;1;2;NA;0;13
"Conus angosturis";-3.87120101090789;0;0.693147180559945;NA;NA;0;1;NA;1;13
"Conus antiquus";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Conus berghausi";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Conus bravoi";-3.63758615972639;0.693147180559945;0.693147180559945;0.693147180559945;0.693147180559945;1;1;1;0;13
"Conus consobrinus";-3.00815479355255;1.38629436111989;1.38629436111989;1.38629436111989;NA;1;1;1;0;13
"Conus decollatus";-4.34380542185369;0;0;0;NA;0;0;0;0;13
"Conus deluvianus";-4.34380542185369;0;0;NA;NA;0;0;NA;0;13
"Conus dingleanus";-3.87120101090789;0;0;NA;NA;0;0;NA;1;13
"Conus dujardini";-3.63758615972639;-1.38629436111989;NA;NA;NA;-1;NA;NA;0;13
"Conus imitator";-3.30810695859614;0.405465108108164;0.405465108108164;1.09861228866811;1.09861228866811;1;1;2;0;13
"Conus molis";-3.30810695859614;0.405465108108164;1.09861228866811;-0.287682072451781;1.09861228866811;1;2;1;0;13
"Conus pamotanensis";-3.87120101090789;0;-0.693147180559945;NA;NA;0;-1;NA;1;13
"Conus puschi";-3.63758615972639;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;13
"Coralliophila bracteata";-3.87120101090789;0;0;NA;NA;0;0;NA;0;13
"Corbula ephamilla";-3.63758615972639;0;NA;NA;NA;0;NA;NA;0;13
"Corbula gibba";-3.5869851464326;0;0.405465108108164;-0.287682072451781;-0.287682072451781;0;1;0;0;13
